To Kill a Mockingbird,Harper Lee,1960
One Hundred Years of Solitude,Gabriel García Márquez,1967
The Great Gatsby,F. Scott Fitzgerald,1925
War and Peace,Leo Tolstoy,1869
Pride and Prejudice,Jane Austen,1813
The Brothers Karamazov,Fyodor Dostoevsky,1880
The Alchemist,Paulo Coelho,1988
The Book Thief,Markus Zusak,2005
Crime and Punishment,Fyodor Dostoevsky,1866
The Catcher in the Rye,J.D. Salinger,1951
The Kite Runner,Khaled Hosseini,2003
Brave New World,Aldous Huxley,1932
Life of Pi,Yann Martel,2001
The Old Man and the Sea,Ernest Hemingway,1952
The Little Prince,Antoine de Saint-Exupéry,1943
Midnight's Children,Salman Rushdie,1981
Don Quixote,Miguel de Cervantes,1605
A Tale of Two Cities,Charles Dickens,1859
Things Fall Apart,Chinua Achebe,1958
